vehicle_id,make,model,variant,year,price_local,currency_code,price_usd_equivalent,segment,fuel_type,country_origin,created_at,price_segment
1,Maruti Suzuki,Alto K10,VXI,2023,350000.0,INR,3745.0,Hatchback,Petrol,India,2026-07-10 09:27:06,Budget (<$5K)
2,Maruti Suzuki,Swift,ZXI Plus,2024,850000.0,INR,9095.0,Hatchback,Petrol,India,2026-07-10 09:27:06,Economy ($5–15K)
3,Hyundai,i20,Asta,2024,1050000.0,INR,11235.0,Hatchback,Petrol,South Korea,2026-07-10 09:27:06,Economy ($5–15K)
4,Tata,Tiago,XZ+,2024,750000.0,INR,8025.0,Hatchback,CNG,India,2026-07-10 09:27:06,Economy ($5–15K)
5,Honda,City,ZX CVT,2024,1550000.0,INR,16585.0,Sedan,Petrol,Japan,2026-07-10 09:27:06,Mid ($15–30K)
6,Hyundai,Verna,SX(O),2024,1450000.0,INR,15515.0,Sedan,Diesel,South Korea,2026-07-10 09:27:06,Mid ($15–30K)
7,Maruti Suzuki,Ciaz,Alpha,2023,1200000.0,INR,12840.0,Sedan,Petrol,India,2026-07-10 09:27:06,Economy ($5–15K)
8,Tata,Nexon,XZ+ TGDi,2024,1650000.0,INR,17655.0,SUV,Petrol,India,2026-07-10 09:27:06,Mid ($15–30K)
9,Hyundai,Creta,SX(O),2024,1900000.0,INR,20330.0,SUV,Diesel,South Korea,2026-07-10 09:27:06,Mid ($15–30K)
10,Mahindra,Scorpio-N,Z8 L,2024,2350000.0,INR,25145.0,SUV,Diesel,India,2026-07-10 09:27:06,Mid ($15–30K)
11,Kia,Seltos,HTX+,2024,1800000.0,INR,19260.0,SUV,Petrol,South Korea,2026-07-10 09:27:06,Mid ($15–30K)
12,Tata,Nexon EV,Max,2024,1950000.0,INR,20865.0,EV,Electric,India,2026-07-10 09:27:06,Mid ($15–30K)
13,MG,ZS EV,Excite,2024,2299000.0,INR,24599.3,EV,Electric,China,2026-07-10 09:27:06,Mid ($15–30K)
14,Maruti Suzuki,Ertiga,ZXI+,2024,1150000.0,INR,12305.0,MUV,CNG,India,2026-07-10 09:27:06,Economy ($5–15K)
15,Kia,Carens,Luxury+,2024,1950000.0,INR,20865.0,MUV,Diesel,South Korea,2026-07-10 09:27:06,Mid ($15–30K)
16,BMW,3 Series,320d Sport,2024,5500000.0,INR,58850.0,Luxury,Diesel,Germany,2026-07-10 09:27:06,Upper-Mid ($30–60K)
17,Mercedes-Benz,C-Class,C 220d,2024,6100000.0,INR,65270.0,Luxury,Diesel,Germany,2026-07-10 09:27:06,Premium ($60–150K)
18,BMW,5 Series,530i,2024,65000.0,USD,65000.0,Luxury,Petrol,Germany,2026-07-10 09:27:06,Premium ($60–150K)
19,Audi,Q7,55 TFSI,2024,89000.0,USD,89000.0,Luxury,Petrol,Germany,2026-07-10 09:27:06,Premium ($60–150K)
20,Mercedes-Benz,E-Class,E 300,2024,78000.0,GBP,99840.0,Luxury,Hybrid,Germany,2026-07-10 09:27:06,Premium ($60–150K)
21,Lexus,RX 500h,F Sport,2024,9800000.0,JPY,65660.0,Luxury,Hybrid,Japan,2026-07-10 09:27:06,Premium ($60–150K)
22,Bugatti,Chiron,Super Sport,2024,3200000.0,USD,3200000.0,Hypercar,Petrol,France,2026-07-10 09:27:06,Ultra ($150K+)
23,Lamborghini,Revuelto,LP 1001-4,2024,620000.0,USD,620000.0,Hypercar,Hybrid,Italy,2026-07-10 09:27:06,Ultra ($150K+)
24,Ferrari,SF90,Stradale,2024,580000.0,EUR,632200.0,Hypercar,Hybrid,Italy,2026-07-10 09:27:06,Ultra ($150K+)
25,Porsche,911 GT3,RS,2024,245000.0,EUR,267050.0,Hypercar,Petrol,Germany,2026-07-10 09:27:06,Ultra ($150K+)
26,McLaren,750S,Spider,2024,380000.0,GBP,486400.0,Hypercar,Petrol,UK,2026-07-10 09:27:06,Ultra ($150K+)
